,Citation,retreived cite
0,J Headache Pain. 2022 Jun 11;23(1):67. doi: 10.1186/s10194-022-01431-x.,10.1186/s10194-022-01527-4
1,Am J Manag Care. 2019 Jan;25(2 Suppl):S23-S34.,10.37765/ajmc.2021.88625
2,Nat Rev Dis Primers. 2022 Jan 13;8(1):2. doi: 10.1038/s41572-021-00328-4.,10.1038/s41572-024-00507-z
3,Physiol Rev. 2023 Apr 1;103(2):1565-1644. doi: 10.1152/physrev.00059.2021. Epub 2022 Dec 1.,10.1016/j.jpurol.2021.05.015
4,Expert Opin Ther Targets. 2020 Feb;24(2):91-100. doi: 10.1080/14728222.2020.1724285. Epub 2020 Feb 13.,10.1517/ett.2009.13.issue-1
5,Headache. 2021 Jul;61(7):1021-1039. doi: 10.1111/head.14153. Epub 2021 Jun 23.,10.1111/head.14153
6,Cells. 2022 Apr 15;11(8):1355. doi: 10.3390/cells11081355.,10.1163/2210-7975_hrd-0490-0161
7,JAMA. 2021 May 11;325(18):1874-1885. doi: 10.1001/jama.2021.1640.,10.1001/jama.2021.1640
8,Physiol Rev. 2017 Apr;97(2):553-622. doi: 10.1152/physrev.00034.2015.,10.1002/bies.201500125
9,BMJ. 2022 Oct 10;379:e067670. doi: 10.1136/bmj-2021-067670.,10.1136/bmj-2021-067670
