,title,retreived doi
0,European Headache Federation guideline on the use of monoclonal antibodies targeting the calcitonin gene related peptide pathway for migraine prevention - 2022 update,10.1186/s10194-022-01431-x
1,Migraine overview and summary of current and emerging treatment options,Not Found
2,Migraine,Not Found
3,"CGRP physiology, pharmacology, and therapeutic targets: migraine and beyond",10.1152/physrev.00059.2021
4,Calcitonin gene-related peptide (CGRP): role in migraine pathophysiology and therapeutic targeting,10.1080/14728222.2020.1724285
5,The American Headache Society Consensus Statement: Update on integrating new migraine treatments into clinical practice,10.1111/head.14245
6,Role of Estrogens in Menstrual Migraine,10.3390/cells11081355
7,Diagnosis and Management of Headache: A Review,10.1001/jama.2021.1640
8,Pathophysiology of Migraine: A Disorder of Sensory Processing,10.1152/physrev.00034.2015
9,Management of chronic migraine,10.1136/bmj-2021-067670
